split,model,bin,bin_low,bin_high,rows,mean_pred,observed_rate
2025_08_to_2025_09,SDS-KB,2,0.13333333333333333,0.2,1352,0.17853444255107145,0.05251479289940828
2025_08_to_2025_09,SDS-KB,3,0.2,0.26666666666666666,9,0.22458132679343695,0.0
2025_08_to_2025_09,SDS-KB,4,0.26666666666666666,0.3333333333333333,145,0.2857994386482229,0.05517241379310345
2025_08_to_2025_09,SDS-KB,5,0.3333333333333333,0.4,2380,0.37870914350738893,0.12815126050420167
2025_08_to_2025_09,SDS-KB,6,0.4,0.4666666666666667,111,0.4270207976365141,0.2072072072072072
2025_08_to_2025_09,SDS-KB,7,0.4666666666666667,0.5333333333333333,1165,0.49254233250624374,0.27896995708154504
2025_08_to_2025_09,SDS-KB,8,0.5333333333333333,0.6,11,0.568120424119437,0.36363636363636365
2025_08_to_2025_09,SDS-KB,9,0.6,0.6666666666666666,1045,0.6305717637441498,0.37894736842105264
2025_08_to_2025_09,SDS-KB,11,0.7333333333333333,0.8,1390,0.7520239710928694,0.4841726618705036
2025_08_to_2025_09,SDS-KB,12,0.8,0.8666666666666667,1790,0.8388156462656933,0.6256983240223464
2025_08_to_2025_09,SDS-KB,13,0.8666666666666667,0.9333333333333333,1406,0.9230735382969901,0.7695590327169275
2025_08_to_2025_09,SDS-KB,14,0.9333333333333333,1.0,7526,0.9843167138124364,0.9503056072282753
2025_09_to_2025_10,SDS-KB,0,0.0,0.06666666666666667,369840,0.0015341662922573583,0.0009166125892277741
2025_09_to_2025_10,SDS-KB,1,0.06666666666666667,0.13333333333333333,2522,0.10540048391344432,0.0535289452815226
2025_09_to_2025_10,SDS-KB,2,0.13333333333333333,0.2,858,0.15640889840014127,0.10606060606060606
2025_09_to_2025_10,SDS-KB,3,0.2,0.26666666666666666,18,0.23923026716600734,0.2777777777777778
2025_09_to_2025_10,SDS-KB,4,0.26666666666666666,0.3333333333333333,759,0.2824204446353902,0.12648221343873517
2025_09_to_2025_10,SDS-KB,5,0.3333333333333333,0.4,564,0.3791672302387573,0.1400709219858156
2025_09_to_2025_10,SDS-KB,6,0.4,0.4666666666666667,1118,0.444465342882052,0.19588550983899822
2025_09_to_2025_10,SDS-KB,7,0.4666666666666667,0.5333333333333333,2320,0.46712376771383024,0.3004310344827586
2025_09_to_2025_10,SDS-KB,8,0.5333333333333333,0.6,5,0.575597934750349,0.2
2025_09_to_2025_10,SDS-KB,9,0.6,0.6666666666666666,7,0.6414723585907598,0.42857142857142855
